,description
7911,"Lamb, fast roasted, cooked, separable lean and fat, boneless, loin, imported, New Zealand exhibits 157.0 calories. It contains 4.6 grams of fat, 0.086 grams of cholesterol, and 0.0020499999999999997 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
7912,"Pork, roasted, cooked, separable lean and fat, boneless, center rib (roasts), loin, fresh amounts to 252.0 calories. It includes 15.0 grams of fat, 0.081 grams of cholesterol, and 0.00093 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
7913,"Lamb, roasted, cooked, choice, trimmed to 1/4"" fat, separable lean and fat, rib, domestic features 359.0 calories. The nutritional profile includes 30.0 grams of fat, 0.097 grams of cholesterol, and 0.0016 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
7914,"Lamb, broiled, cooked, choice, trimmed to 1/4"" fat, separable lean and fat, rib, domestic indicates 361.0 calories. It contains 30.0 grams of fat, 0.099 grams of cholesterol, and 0.00188 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
7915,"Lamb, broiled, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, rib, domestic demonstrates 340.0 calories. The nutritional content includes 27.0 grams of fat, 0.098 grams of cholesterol, and 0.0019299999999999999 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
7916,"Lamb, roasted, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, rib, domestic amounts to 341.0 calories. It includes 28.0 grams of fat, 0.096 grams of cholesterol, and 0.0016200000000000001 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
7917,"Lamb, raw, choice, trimmed to 1/4"" fat, separable lean and fat, shank half, leg, domestic registers 201.0 calories. It contains 13.0 grams of fat, 0.067 grams of cholesterol, and 0.00171 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
7918,"Snacks, made with partially hydrogenated oil, regular (butter) flavor, microwave, popcorn stands at 557.0 calories. It contains 34.0 grams of fat, 0.0 grams of cholesterol, and 0.00185 grams of iron, as well as 0.55 grams of sugars and 55.16 grams of carbohydrates."
7919,"Bagels, toasted, with calcium propionate (includes onion, poppy, sesame), enriched, plain serves up 287.0 calories. Nutritionally, it contains 1.4 grams of fat, 0.0 grams of cholesterol, and 0.0045 grams of iron, along with 9.14 grams of sugars and 57.39 grams of carbohydrates."
7920,"The food item Lamb, raw, choice, trimmed to 1/4"" fat, separable lean and fat, blade, shoulder, domestic provides 259.0 calories. You can find 21.0 grams of fat, 0.072 grams of cholesterol, and 0.00148 grams of iron. It also contains 0.0 grams of sugars and 0.0 grams of carbohydrates."
7921,"Pork, roasted, heated, separable lean only, bone-in, rump, ham with natural juices, cured demonstrates 137.0 calories. The nutritional content includes 4.3 grams of fat, 0.072 grams of cholesterol, and 0.0010400000000000001 grams of iron, along with 0.48 grams of sugars and 0.48 grams of carbohydrates."
7922,"For 123.0 calories, Pork, roasted, heated, separable lean only, boneless, whole, ham and water product, cured provides 5.5 grams of fat, 0.043 grams of cholesterol, 0.00074 grams of iron, 4.61 grams of sugars, and 4.61 grams of carbohydrates."
7923,"The food item Infant formula, with ARA and DHA, ready to feed, LIPIL, PROSOBEE, NEXT STEP, MEAD JOHNSON provides 67.0 calories. You can find 2.9 grams of fat, 0.0 grams of cholesterol, and 0.00131 grams of iron. It also contains 7.77 grams of sugars and 8.09 grams of carbohydrates."
7924,"Fast Foods, vegetables and mayonnaise, large patty; with condiments, cheeseburger; double comprises 253.0 calories. It includes 16.0 grams of fat, 0.049 grams of cholesterol, and 0.00412 grams of iron, as well as 3.61 grams of sugars and 12.62 grams of carbohydrates."
7925,"Chicken, original seasoning, rotisserie, cooked, meat and skin, thigh, broilers or fryers tallies 233.0 calories. The nutritional profile includes 16.0 grams of fat, 0.132 grams of cholesterol, and 0.0009699999999999999 grams of iron, along with 0.02 grams of sugars and 0.02 grams of carbohydrates."
7926,"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean only, whole, brisket has a calorie count of 218.0. It provides 10.0 grams of fat, 0.093 grams of cholesterol, and 0.00281 grams of iron. It also contains 0.0 grams of sugar and 0.0 grams of carbs."
7927,"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, boneless, ribeye cap steak consists of 180.0 calories. It contains 11.0 grams of fat, 0.064 grams of cholesterol, and 0.00264 grams of iron, along with 0.0 grams of sugars and 1.51 grams of carbohydrates."
7928,"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, roast, tip round, round contributes 151.0 calories. Nutritionally, it has 7.0 grams of fat, 0.062 grams of cholesterol, and 0.0016899999999999999 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
7929,"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean only, flat half, brisket amounts to 198.0 calories. It includes 5.9 grams of fat, 0.102 grams of cholesterol, and 0.00287 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
7930,"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean only, flat half, brisket contributes 212.0 calories. Nutritionally, it has 8.1 grams of fat, 0.099 grams of cholesterol, and 0.00283 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
7931,"Pork, roasted, heated, separable lean and fat, boneless, whole, ham -- water added, cured reveals 126.0 calories. It contains 5.5 grams of fat, 0.054 grams of cholesterol, and 0.00082 grams of iron, as well as 1.54 grams of sugars and 1.54 grams of carbohydrates."
7932,"The food item Beverages, without caffeine, with aspartame, cola or pepper-type, low calorie, carbonated provides 1.0 calories. You can find 0.0 grams of fat, 0.0 grams of cholesterol, and 2e-05 grams of iron. It also contains 0.0 grams of sugars and 0.12 grams of carbohydrates."
7933,"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, loin, fresh, imported, Australian contains 203.0 calories. It has 13.0 grams of fat, 0.066 grams of cholesterol, and 0.00166 grams of iron, plus 0.0 grams of sugars and 0.0 grams of carbohydrates."
7934,"With 227.0 calories, Beef, raw, select, trimmed to 0"" fat, separable lean and fat, boneless, short ribs, chuck offers 17.0 grams of fat, 0.078 grams of cholesterol, 0.00215 grams of iron, 0.0 grams of sugars, and 0.0 grams of carbohydrates."
7935,"Squash, without salt, drained, boiled, cooked, frozen, crookneck and straightneck, summer offers 25.0 calories. The nutritional breakdown includes 0.2 grams of fat, 0.0 grams of cholesterol, and 0.0005200000000000001 grams of iron, along with 2.33 grams of sugars and 5.54 grams of carbohydrates."
7936,"Pork, pan-fried, cooked, separable lean and fat, bone-in, center rib (chops), loin, fresh signifies 256.0 calories. It contains 16.0 grams of fat, 0.078 grams of cholesterol, and 0.00083 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
7937,"Beef, raw, select, trimmed to 1/8"" fat, separable lean and fat, large end (ribs 6-9), rib has 295.0 calories. It contains 25.0 grams of fat, 0.07 grams of cholesterol, 0.00174 grams of iron, 0.0 grams of sugars, and 0.0 grams of carbohydrates."
7938,"Beef, raw, choice, trimmed to 1/8"" fat, separable lean and fat, large end (ribs 6-9), rib delivers 333.0 calories. It contains 29.0 grams of fat, 0.072 grams of cholesterol, and 0.0016799999999999999 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
7939,"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, boneless, short ribs, chuck offers 240.0 calories. The nutritional breakdown includes 19.0 grams of fat, 0.073 grams of cholesterol, and 0.0023 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
7940,"Lamb, raw, choice, trimmed to 1/8"" fat, separable lean and fat, blade, shoulder, domestic yields 244.0 calories. Nutritionally, it includes 19.0 grams of fat, 0.071 grams of cholesterol, and 0.0015 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
7941,"Lamb, raw, choice, trimmed to 1/4"" fat, separable lean only, sirloin half, leg, domestic packs 134.0 calories. It has 5.1 grams of fat, 0.066 grams of cholesterol, and 0.00183 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
7942,"Lamb, raw, separable lean only, boneless, rolled, netted shoulder, imported, New Zealand accounts for 143.0 calories. Nutritionally, it contains 6.9 grams of fat, 0.058 grams of cholesterol, and 0.00116 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
7943,"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, arm pot roast, chuck amounts to 244.0 calories. It includes 18.0 grams of fat, 0.091 grams of cholesterol, and 0.0016699999999999998 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
7944,"Fast foods, patty and bun; with condiments and vegetables, regular, cheeseburger; double is a food with 285.0 calories. It provides 15.0 grams of fat, 0.041 grams of cholesterol, and 0.00207 grams of iron. You can also find 0.0 grams of sugars and 23.3 grams of carbohydrates in it."
7945,"In Beef, raw, select, trimmed to 1/8"" fat, separable lean only, small end (ribs 10-12), rib, you get 134.0 calories. The nutritional content includes 4.2 grams of fat, 0.073 grams of cholesterol, and 0.00159 grams of iron. There are also 0.0 grams of sugar and 0.0 grams of carbs."
7946,"Beef, raw, select, trimmed to 1/8"" fat, separable lean only, steak, top loin, short loin generates 133.0 calories. The nutritional breakdown includes 3.9 grams of fat, 0.04 grams of cholesterol, and 0.00163 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
7947,"Pork, braised, cooked, separable lean and fat, bone-in, center loin (chops), loin, fresh generates 242.0 calories. The nutritional breakdown includes 14.0 grams of fat, 0.081 grams of cholesterol, and 0.00086 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
7948,"Pork, broiled, cooked, separable lean and fat, bone-in, center loin (chops), loin, fresh amounts to 209.0 calories. It includes 11.0 grams of fat, 0.084 grams of cholesterol, and 0.00079 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
7949,"Beef, raw, choice, trimmed to 0"" fat, separable lean only, tri-tip roast, bottom sirloin equals 154.0 calories. Nutritionally, it includes 7.1 grams of fat, 0.064 grams of cholesterol, and 0.0015400000000000001 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
7950,"Cereals, without salt, cooked with water, enriched, regular and quick, white, corn grits gives you 71.0 calories. It contains 0.5 grams of fat, 0.0 grams of cholesterol, and 0.00057 grams of iron. Additionally, it includes 0.12 grams of sugar and 14.76 grams of carbs."
7951,"For 135.0 calories, Beef, raw, all grades, trimmed to 1/8"" fat, separable lean only, steak, top round, round provides 4.1 grams of fat, 0.055 grams of cholesterol, 0.00199 grams of iron, 0.0 grams of sugars, and 0.0 grams of carbohydrates."
7952,"Chicken, original seasoning, rotisserie, cooked, meat and skin, back, broilers or fryers consists of 260.0 calories. It contains 19.0 grams of fat, 0.128 grams of cholesterol, and 0.0009699999999999999 grams of iron, along with 0.03 grams of sugars and 0.03 grams of carbohydrates."
7953,"Pork, roasted, cooked, with added solution, separable lean only, tenderloin, loin, fresh demonstrates 116.0 calories. The nutritional content includes 3.2 grams of fat, 0.057 grams of cholesterol, and 0.00098 grams of iron, along with 0.0 grams of sugars and 0.31 grams of carbohydrates."
7954,"Infant formula, not reconstituted, powder, with iron, ADVANCE, SIMILAC, ABBOTT NUTRITION consists of 522.0 calories. It contains 29.0 grams of fat, 0.014 grams of cholesterol, and 0.009470000000000001 grams of iron, along with 54.73 grams of sugars and 54.73 grams of carbohydrates."
7955,"Infant formula, liquid concentrate, ADVANCE with iron, ISOMIL, SIMILAC, ABBOTT NUTRITION makes up 128.0 calories. The nutritional breakdown includes 7.0 grams of fat, 0.0 grams of cholesterol, and 0.0023 grams of iron, along with 13.1 grams of sugars and 13.21 grams of carbohydrates."
7956,"School Lunch, frozen, TONY'S SMARTPIZZA Whole Grain 4x6 Cheese Pizza 50/50 Cheese, pizza tallies 233.0 calories. The nutritional profile includes 7.5 grams of fat, 0.012 grams of cholesterol, and 0.0024 grams of iron, along with 6.76 grams of sugars and 29.27 grams of carbohydrates."
7957,"School Lunch, frozen, BIG DADDY'S LS 16"" 51% Whole Grain Rolled Edge Cheese Pizza, pizza amounts to 243.0 calories. It includes 8.8 grams of fat, 0.018 grams of cholesterol, and 0.0025 grams of iron, along with 4.77 grams of sugars and 27.1 grams of carbohydrates."
7958,"The food item Macaroni and cheese, prepared with 2% milk and 80% stick margarine from dry mix, dry mix provides 190.0 calories. You can find 8.3 grams of fat, 0.003 grams of cholesterol, and 0.00099 grams of iron. It also contains 4.27 grams of sugars and 23.93 grams of carbohydrates."
7959,"Rolls, and sorghum flour, tapioca starch, made with brown rice flour, white, gluten-free contains 257.0 calories. In terms of nutrition, it has 8.2 grams of fat, 0.0 grams of cholesterol, and 0.0008900000000000001 grams of iron. Additionally, it includes 2.98 grams of sugar and 40.24 grams of carbs."
7960,"Beef, roasted, cooked, choice, trimmed to 0"" fat, separable lean only, clod roast, chuck exhibits 171.0 calories. It contains 6.7 grams of fat, 0.087 grams of cholesterol, and 0.0032 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
7961,"Beef, raw, select, trimmed to 1/8"" fat, separable lean and fat, t-bone steak, short loin signifies 215.0 calories. It contains 14.0 grams of fat, 0.062 grams of cholesterol, and 0.00173 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
7962,"Margarine-like, with salt, approximately 37% fat, unspecified oils, vegetable oil spread totals 339.0 calories. It contains 38.0 grams of fat, 0.0 grams of cholesterol, and 2e-05 grams of iron, as well as 0.0 grams of sugars and 0.66 grams of carbohydrates."
7963,"Pork, braised, cooked, separable lean and fat, boneless, center rib (chops), loin, fresh boasts 255.0 calories. The nutritional content includes 16.0 grams of fat, 0.073 grams of cholesterol, and 0.00092 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
7964,"Pork, broiled, cooked, separable lean and fat, boneless, center rib (chops), loin, fresh yields 260.0 calories. Nutritionally, it includes 16.0 grams of fat, 0.082 grams of cholesterol, and 0.0007700000000000001 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
7965,"Beef, raw, choice, trimmed to 1/8"" fat, separable lean only, steak, top loin, short loin tallies 155.0 calories. The nutritional profile includes 6.4 grams of fat, 0.066 grams of cholesterol, and 0.00166 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
7966,"Pork, roasted, cooked, separable lean and fat, bone-in, center rib (roasts), loin, fresh delivers 248.0 calories. Nutritionally, it has 15.0 grams of fat, 0.078 grams of cholesterol, and 0.0009599999999999999 grams of iron. It also includes 0.0 grams of sugar and 0.0 grams of carbs."
7967,"Cereals ready-to-eat, raisin, KELLOGG's FROSTED MINI-WHEATS Touch of Fruit in the Middle generates 343.0 calories. The nutritional breakdown includes 1.6 grams of fat, 0.0 grams of cholesterol, and 0.0295 grams of iron, along with 17.2 grams of sugars and 82.1 grams of carbohydrates."
7968,"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, boneless, chuck eye steak supplies 153.0 calories. Nutritionally, it includes 7.6 grams of fat, 0.067 grams of cholesterol, and 0.00228 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
7969,"Oil, principal uses icings and fillings, palm, soy (partially hydrogenated ), industrial displays 884.0 calories. Nutritionally, it includes 100.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
7970,"Pork, pan-broil, heated, separable lean only, boneless, slice, ham -- water added, cured holds 119.0 calories. It contains 4.1 grams of fat, 0.054 grams of cholesterol, and 0.00086 grams of iron, along with 1.75 grams of sugars and 1.75 grams of carbohydrates."
7971,"Cereals, without salt, microwaved, cooked with water, 1 minute cook time, CREAM OF WHEAT shows 55.0 calories. The nutritional breakdown includes 0.4 grams of fat, 0.0 grams of cholesterol, and 0.00488 grams of iron, along with 2.98 grams of sugars and 10.67 grams of carbohydrates."
7972,"Pork, broiled, cooked, boneless, separable lean and fat, country-style ribs, loin, fresh contains 247.0 calories. It has 16.0 grams of fat, 0.088 grams of cholesterol, and 0.0008900000000000001 grams of iron, plus 0.0 grams of sugars and 0.0 grams of carbohydrates."
7973,"Pork, roasted, cooked, boneless, separable lean and fat, country-style ribs, loin, fresh reflects 270.0 calories. Nutritionally, it includes 18.0 grams of fat, 0.096 grams of cholesterol, and 0.00091 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
7974,"Rolls, and potato starch, tapioca starch, made with brown rice flour, white, gluten-free packs 310.0 calories. It has 6.4 grams of fat, 0.0 grams of cholesterol, and 0.00078 grams of iron, as well as 9.53 grams of sugars and 55.1 grams of carbohydrates."
7975,"Infant formula, not reconstituted, liquid concentrate, with iron, PROSOBEE, MEAD JOHNSON contains 131.0 calories. In terms of nutrition, it has 7.1 grams of fat, 0.0 grams of cholesterol, and 0.0023 grams of iron. Additionally, it includes 13.58 grams of sugar and 13.58 grams of carbs."
7976,"Infant formula, with ARA and DHA, ready to feed, with iron, PROSOBEE LIPIL, MEAD JOHNSON comprises 64.0 calories. It includes 3.5 grams of fat, 0.0 grams of cholesterol, and 0.0011799999999999998 grams of iron, as well as 6.11 grams of sugars and 6.11 grams of carbohydrates."
7977,"Beef, roasted, cooked, select, trimmed to 0"" fat, separable lean only, clod roast, chuck comprises 172.0 calories. It includes 5.8 grams of fat, 0.09 grams of cholesterol, and 0.00319 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
7978,"In Chicken, original seasoning, rotisserie, cooked, meat and skin, wing, broilers or fryers, you get 266.0 calories. The nutritional content includes 19.0 grams of fat, 0.14 grams of cholesterol, and 0.0009699999999999999 grams of iron. There are also 0.04 grams of sugar and 0.04 grams of carbs."
7979,"In Beef, broiled, cooked, select, trimmed to 1/4"" fat, separable lean only, full cut, round, you get 172.0 calories. The nutritional content includes 5.2 grams of fat, 0.078 grams of cholesterol, and 0.00271 grams of iron. There are also 0.0 grams of sugar and 0.0 grams of carbs."
7980,"Beef, broiled, cooked, choice, trimmed to 1/4"" fat, separable lean only, full cut, round holds 191.0 calories. It contains 7.3 grams of fat, 0.078 grams of cholesterol, and 0.0027 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
7981,"Beef, raw, choice, trimmed to 1/8"" fat, separable lean and fat, t-bone steak, short loin provides 228.0 calories. It contains 16.0 grams of fat, 0.062 grams of cholesterol, and 0.00164 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
7982,"Pork, roasted, heated, separable lean and fat, bone-in, shank, ham -- water added, cured encompasses 200.0 calories. It contains 13.0 grams of fat, 0.066 grams of cholesterol, and 0.0013700000000000001 grams of iron, along with 0.79 grams of sugars and 1.35 grams of carbohydrates."
7983,"Crustaceans, moist heat (may have been previously frozen), cooked, mixed species, shrimp reveals 119.0 calories. It contains 1.7 grams of fat, 0.211 grams of cholesterol, and 0.00032 grams of iron, as well as 0.0 grams of sugars and 1.52 grams of carbohydrates."
7984,"Pork, pan-fried, cooked, separable lean and fat, boneless, top loin (chops), loin, fresh holds 196.0 calories. It contains 7.9 grams of fat, 0.07 grams of cholesterol, and 0.00082 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
7985,"Beverages, with high vitamin C, Fruit flavored drink containing less than 3% fruit juice produces 27.0 calories. It contains 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, as well as 5.0 grams of sugars and 6.67 grams of carbohydrates."
7986,"Beef, raw, prime, trimmed to 1/8"" fat, separable lean and fat, large end (ribs 6-9), rib is a food with 367.0 calories. It provides 33.0 grams of fat, 0.073 grams of cholesterol, and 0.00165 grams of iron. You can also find 0.0 grams of sugars and 0.0 grams of carbohydrates in it."
7987,"Beef, raw, select, trimmed to 0"" fat, separable lean only, tri-tip roast, bottom sirloin delivers 129.0 calories. Nutritionally, it has 4.2 grams of fat, 0.059 grams of cholesterol, and 0.00155 grams of iron. It also includes 0.0 grams of sugar and 0.0 grams of carbs."
7988,"Pork, roasted, heated, separable lean only, bone-in, shank, ham and water product, cured amounts to 132.0 calories. It includes 4.5 grams of fat, 0.072 grams of cholesterol, and 0.00117 grams of iron, along with 1.26 grams of sugars and 1.26 grams of carbohydrates."
7989,"Lamb, roasted, cooked, choice, trimmed to 1/4"" fat, separable lean only, loin, domestic generates 202.0 calories. The nutritional breakdown includes 9.8 grams of fat, 0.087 grams of cholesterol, and 0.00244 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
7990,"Lamb, broiled, cooked, choice, trimmed to 1/4"" fat, separable lean only, loin, domestic comprises 216.0 calories. It includes 9.7 grams of fat, 0.095 grams of cholesterol, and 0.002 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
7991,"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, point half, brisket delivers 265.0 calories. It contains 21.0 grams of fat, 0.071 grams of cholesterol, and 0.0016899999999999999 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
7992,"Oil, intermediate grade product, confection fat, palm kernel (hydrogenated), industrial delivers 884.0 calories. It contains 100.0 grams of fat, 0.0 grams of cholesterol, and 0.00015 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
7993,"In Oil, pourable clear fry, soy (partially hydrogenated ) and soy (winterized), industrial, you get 884.0 calories. The nutritional content includes 100.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron. There are also 0.0 grams of sugar and 0.0 grams of carbs."
7994,"Oil, uses similar to high quality cocoa butter, confection fat, palm kernel, industrial indicates 884.0 calories. It contains 100.0 grams of fat, 0.0 grams of cholesterol, and 0.00029 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
7995,"Beef, raw, select, trimmed to 0"" fat, separable lean only, boneless, flat half, brisket comprises 124.0 calories. It includes 4.1 grams of fat, 0.069 grams of cholesterol, and 0.0020800000000000003 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
7996,"CAMPBELL'S CHUNKY Microwavable Bowls, ready-to-serve, Old Fashioned Vegetable Beef Soup produces 41.0 calories. It contains 0.6 grams of fat, 0.004 grams of cholesterol, and 0.00044 grams of iron, as well as 1.63 grams of sugars and 5.71 grams of carbohydrates."
7997,"Pork, pan-broil, heated, separable lean only, bone-in, slice, ham -- water added, cured generates 131.0 calories. The nutritional breakdown includes 4.3 grams of fat, 0.065 grams of cholesterol, and 0.0011200000000000001 grams of iron, along with 1.48 grams of sugars and 1.48 grams of carbohydrates."
7998,"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean only, top round, round generates 207.0 calories. The nutritional breakdown includes 5.8 grams of fat, 0.09 grams of cholesterol, and 0.00332 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
7999,"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean only, top round, round comprises 190.0 calories. It includes 4.0 grams of fat, 0.09 grams of cholesterol, and 0.00332 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
8000,"Infant formula, not reconstituted, powder, with iron, NUTRAMIGEN, ENFAMIL, MEAD JOHNSON encompasses 502.0 calories. It contains 25.0 grams of fat, 0.0 grams of cholesterol, and 0.0089 grams of iron, along with 55.0 grams of sugars and 55.0 grams of carbohydrates."
8001,"For 64.0 calories, Infant formula, with ARA and DHA, ready-to-feed, with iron, ENFAMIL LIPIL, MEAD JOHNSON provides 3.5 grams of fat, 0.001 grams of cholesterol, 0.0011799999999999998 grams of iron, 7.1 grams of sugars, and 7.1 grams of carbohydrates."
8002,"In Milk, vitamin A and vitamin D, with added nonfat milk solids, 1% milkfat, fluid, lowfat, you get 43.0 calories. The nutritional content includes 1.0 grams of fat, 0.004 grams of cholesterol, and 5e-05 grams of iron. There are also 0.0 grams of sugar and 4.97 grams of carbs."
8003,"Pork, pan-fried, cooked, separable lean only, bone-in, center loin (chops), loin, fresh amounts to 195.0 calories. It includes 7.7 grams of fat, 0.078 grams of cholesterol, and 0.00099 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
8004,"Infant formula, with ARA and DHA, ready-to-feed, For Spit Up, SIMILAC, ABBOTT NUTRITION holds 66.0 calories. It contains 3.5 grams of fat, 0.0 grams of cholesterol, and 0.0011799999999999998 grams of iron, along with 7.19 grams of sugars and 7.19 grams of carbohydrates."
8005,"Beef, braised, cooked, separable lean and fat, brisket navel end, imported, New Zealand yields 453.0 calories. Nutritionally, it includes 41.0 grams of fat, 0.072 grams of cholesterol, and 0.0012900000000000001 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
8006,"Seeds, from unroasted kernels (non-chemically removed seed coat), tahini, sesame butter contributes 607.0 calories. Nutritionally, it has 56.0 grams of fat, 0.0 grams of cholesterol, and 0.00635 grams of iron, as well as 0.0 grams of sugars and 17.89 grams of carbohydrates."
8007,"Potatoes, as purchased, frozen, salt not added in processing, cottage-cut, french fried comprises 153.0 calories. It includes 5.8 grams of fat, 0.0 grams of cholesterol, and 0.0010500000000000002 grams of iron, as well as 0.0 grams of sugars and 23.98 grams of carbohydrates."
8008,"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, boneless, chuck eye steak is a food with 227.0 calories. It provides 17.0 grams of fat, 0.068 grams of cholesterol, and 0.0021000000000000003 grams of iron. You can also find 0.0 grams of sugars and 0.0 grams of carbohydrates in it."
8009,"The food item Pork, unheated, separable lean and fat, boneless, whole, ham with natural juices, cured provides 112.0 calories. You can find 3.4 grams of fat, 0.053 grams of cholesterol, and 0.00087 grams of iron. It also contains 1.02 grams of sugars and 1.02 grams of carbohydrates."
8010,"Lamb, fast roasted, cooked, separable lean only, boneless, chump, imported, New Zealand boasts 142.0 calories. The nutritional content includes 5.3 grams of fat, 0.074 grams of cholesterol, and 0.00173 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
8011,"Lamb, raw, choice, trimmed to 1/4"" fat, separable lean and fat, arm, shoulder, domestic represents 260.0 calories. It contains 21.0 grams of fat, 0.071 grams of cholesterol, and 0.00156 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
8012,"Soymilk, vitamins A and D, with added calcium, unsweetened, light, original and vanilla delivers 34.0 calories. Nutritionally, it has 0.9 grams of fat, 0.0 grams of cholesterol, and 0.00046 grams of iron. It also includes 0.41 grams of sugar and 3.85 grams of carbs."
8013,"Beef, raw, choice, trimmed to 0"" fat, separable lean only, boneless, flat half, brisket boasts 137.0 calories. The nutritional content includes 5.8 grams of fat, 0.067 grams of cholesterol, and 0.00204 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
8014,"Pork, broiled, cooked, separable lean and fat, bone-in, center rib (chops), loin, fresh holds 222.0 calories. It contains 13.0 grams of fat, 0.067 grams of cholesterol, and 0.00068 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
8015,"Pork, braised, cooked, separable lean and fat, bone-in, center rib (chops), loin, fresh has 261.0 calories. It contains 16.0 grams of fat, 0.079 grams of cholesterol, 0.0008100000000000001 grams of iron, 0.0 grams of sugars, and 0.0 grams of carbohydrates."
8016,"Lamb, raw, choice, trimmed to 1/8"" fat, separable lean and fat, arm, shoulder, domestic serves up 244.0 calories. Nutritionally, it contains 19.0 grams of fat, 0.07 grams of cholesterol, and 0.00158 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
8017,"Pork, roasted, cooked, separable lean and fat, boneless, top loin (roasts), loin, fresh exhibits 192.0 calories. It contains 8.8 grams of fat, 0.08 grams of cholesterol, and 0.00064 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
